Dist Code,Year,State Code,State Name,Dist Name,RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha),KHARIF SORGHUM PRODUCTION (1000 tons),KHARIF SORGHUM YIELD (Kg per ha),RABI SORGHUM PRODUCTION (1000 tons),RABI SORGHUM YIELD (Kg per ha),SORGHUM PRODUCTION (1000 tons),SORGHUM YIELD (Kg per ha),PEARL MILLET PRODUCTION (1000 tons),PEARL MILLET YIELD (Kg per ha),MAIZE PRODUCTION (1000 tons),MAIZE YIELD (Kg per ha),FINGER MILLET PRODUCTION (1000 tons),FINGER MILLET YIELD (Kg per ha),BARLEY PRODUCTION (1000 tons),BARLEY YIELD (Kg per ha),CHICKPEA PRODUCTION (1000 tons),CHICKPEA YIELD (Kg per ha),PIGEONPEA PRODUCTION (1000 tons),PIGEONPEA YIELD (Kg per ha),MINOR PULSES PRODUCTION (1000 tons),MINOR PULSES YIELD (Kg per ha),GROUNDNUT PRODUCTION (1000 tons),GROUNDNUT YIELD (Kg per ha),SESAMUM PRODUCTION (1000 tons),SESAMUM YIELD (Kg per ha),RAPESEED AND MUSTARD PRODUCTION (1000 tons),RAPESEED AND MUSTARD YIELD (Kg per ha),SAFFLOWER PRODUCTION (1000 tons),SAFFLOWER YIELD (Kg per ha),CASTOR PRODUCTION (1000 tons),CASTOR YIELD (Kg per ha),LINSEED PRODUCTION (1000 tons),LINSEED YIELD (Kg per ha),SUNFLOWER PRODUCTION (1000 tons),SUNFLOWER YIELD (Kg per ha),SOYABEAN PRODUCTION (1000 tons),SOYABEAN YIELD (Kg per ha),OILSEEDS PRODUCTION (1000 tons),OILSEEDS YIELD (Kg per ha),SUGARCANE PRODUCTION (1000 tons),SUGARCANE YIELD (Kg per ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha)
83,1966,11,Tamil Nadu,Chengalpattu MGR / Kanchipuram,400,1169.59,0,0,0.5,625,0.3,600,0.8,615.38,3,600,0,0,25,961.54,0,0,0,0,0,0,1.12,373.33,55,846.15,2.6,305.88,0,0,0,0,0,0,0,0,0,0,0,0,57.6,761.5,8.6,7166.67,0,0
83,1967,11,Tamil Nadu,Chengalpattu MGR / Kanchipuram,429,1254.39,0,0,0.5,625,0.3,600,0.8,615.38,3,600,0,0,30,1153.85,0,0,0,0,0,0,0.67,251.88,62,925.37,3.5,294.12,0,0,0,0,0,0,0,0,0,0,0,0,65.5,807.74,10.7,7642.86,0,0
83,1968,11,Tamil Nadu,Chengalpattu MGR / Kanchipuram,232,925.78,0,0,1.5,625,0,0,1.5,600,3,491.8,0,0,28,962.2,0,0,0,0,0,0,1.08,281.25,48,997.92,2.4,296.3,0,0,0,0,0,0,0,0,0,0,0,0,50.4,862.42,19.2,7680,0,0
83,1969,11,Tamil Nadu,Chengalpattu MGR / Kanchipuram,505.3,1624.24,0,0,1.7,653.85,0.1,1000,1.8,666.67,6,571.43,0,0,35.3,1302.58,0,0,0,0,0.4,500,0.75,233.64,53.7,1046.78,2.8,304.35,0,0,0,0,0,0,0,0,0,0,0,0,56.5,904.14,18,6000,0,0
83,1970,11,Tamil Nadu,Chengalpattu MGR / Kanchipuram,579.1,1760.18,0,0,1.2,1200,0,0,1.2,1200,5.3,602.27,0,0,25.2,1086.21,0,0,0,0,0.8,571.43,-1,-1,74.6,1163.81,2.4,303.8,0,0,0,0,0,0,0,0,0,0,0,0,77,1030.51,18,6923.08,0,0
83,1971,11,Tamil Nadu,Chengalpattu MGR / Kanchipuram,491.5,1502.6,0,0,0.7,875,0,0,0.7,875,5.3,981.48,0,0,26,1145.37,0,0,0,0,1.6,500,2.02,309.82,74.3,1043.54,2.3,302.63,0,0,0,0,0,0,0,0,0,0,0,0,76.6,945.56,15.8,7523.81,0,0
83,1972,11,Tamil Nadu,Chengalpattu MGR / Kanchipuram,564.9,1730.7,0,0,1.3,1300,0.1,1000,1.4,1272.73,6.3,1105.26,0,0,27.2,1208.89,0,0,0,0,1.2,480,1.41,298.1,79.4,1232.92,2.4,303.8,0,0,0,0,0,0,0,0,0,0,0,0,81.8,1115.96,18.3,6777.78,0,0
83,1973,11,Tamil Nadu,Chengalpattu MGR / Kanchipuram,664.3,2180.18,0,0,0.9,818.18,0,0,0.9,818.18,9.3,1660.71,0,0,33.2,1756.61,0,0,0,0,1.6,571.43,1.42,263.94,108.2,1269.95,3.1,430.56,0,0,0,0,0,0,0,0,0,0,0,0,111.3,1187.58,33.2,10375,0.1,1000
83,1974,11,Tamil Nadu,Chengalpattu MGR / Kanchipuram,414.3,1632.39,0,0,0.3,272.73,0,0,0.3,272.73,5.7,1163.27,0.2,1000,37.7,1705.88,0,0,0,0,0.7,466.67,0.77,182.46,75.1,1134.44,2.3,377.05,0,0,0,0,0,0,0,0,0,0,0,0,77.4,1052.35,31.2,11142.86,0,0
83,1975,11,Tamil Nadu,Chengalpattu MGR / Kanchipuram,750,2189.78,0,0,0.9,750,0,0,0.9,750,8.6,1457.63,0,0,41.1,1442.11,0,0,0,0,0.8,533.33,0.48,199.17,95.9,1636.52,1.1,314.29,0,0,0,0,0,0,0,0,0,0,0,0,97,1510.9,24.6,9111.11,0,0
