State,District,Reservoir Name,Agency Name,Date,FRL,Live Cap FRL,Level,Current Live Storage
Tamil Nadu,Coimbatore,Aliyar Reservoir,CWC,1991,320.04,0.095,,
Tamil Nadu,Coimbatore,Aliyar Reservoir,CWC,1992,320.04,0.095,,
Tamil Nadu,Coimbatore,Aliyar Reservoir,CWC,1993,320.04,0.095,,
Tamil Nadu,Coimbatore,Aliyar Reservoir,CWC,1994,320.04,0.095,,
Tamil Nadu,Coimbatore,Aliyar Reservoir,CWC,1995,320.04,0.095,,
Tamil Nadu,Coimbatore,Aliyar Reservoir,CWC,1996,320.04,0.095,,
Tamil Nadu,Coimbatore,Aliyar Reservoir,CWC,1997,320.04,0.095,,
Tamil Nadu,Coimbatore,Aliyar Reservoir,CWC,1998,320.04,0.095,,
Tamil Nadu,Coimbatore,Aliyar Reservoir,CWC,1999,320.04,0.095,,
Tamil Nadu,Coimbatore,Aliyar Reservoir,CWC,2000,320.04,0.095,308.692449,0.032346939
Tamil Nadu,Coimbatore,Aliyar Reservoir,CWC,2001,320.04,0.095,306.1734247,0.019539726
Tamil Nadu,Coimbatore,Aliyar Reservoir,CWC,2002,320.04,0.095,304.6012603,0.012717808
Tamil Nadu,Coimbatore,Aliyar Reservoir,CWC,2003,320.04,0.095,302.6316986,0.006367123
Tamil Nadu,Coimbatore,Aliyar Reservoir,CWC,2004,320.04,0.095,307.5663661,0.030112022
Tamil Nadu,Coimbatore,Aliyar Reservoir,CWC,2005,320.04,0.095,310.265863,0.043742466
Tamil Nadu,Coimbatore,Aliyar Reservoir,CWC,2006,320.04,0.095,314.9463288,0.06450411
Tamil Nadu,Coimbatore,Aliyar Reservoir,CWC,2007,320.04,0.095,314.4676712,0.06269863
Tamil Nadu,Coimbatore,Aliyar Reservoir,CWC,2008,320.04,0.095,316.3531148,0.072256831
Tamil Nadu,Coimbatore,Aliyar Reservoir,CWC,2009,320.04,0.095,314.1609315,0.060909589
Tamil Nadu,Coimbatore,Aliyar Reservoir,CWC,2010,320.04,0.095,316.2500822,0.071928767
Tamil Nadu,Coimbatore,Aliyar Reservoir,CWC,2011,320.04,0.095,317.130411,0.077049315
Tamil Nadu,Coimbatore,Aliyar Reservoir,CWC,2012,320.04,0.095,313.0605738,0.054043716
Tamil Nadu,Coimbatore,Aliyar Reservoir,CWC,2013,320.04,0.095,309.966863,0.043068466
Tamil Nadu,Coimbatore,Aliyar Reservoir,CWC,2014,320.04,0.095,312.3007285,0.051513213
Tamil Nadu,Coimbatore,Aliyar Reservoir,CWC,2015,320.04,0.095,317.4903922,0.079223557
Tamil Nadu,Coimbatore,Aliyar Reservoir,CWC,2016,320.04,0.095,306.7856346,0.022342747
Tamil Nadu,Coimbatore,Aliyar Reservoir,CWC,2017,320.04,0.095,306.1291468,0.019363103
Tamil Nadu,Coimbatore,Aliyar Reservoir,CWC,2018,320.04,0.095,309.597856,0.042050554
Tamil Nadu,Coimbatore,Aliyar Reservoir,CWC,2019,320.04,0.095,308.2567507,0.034571233
Tamil Nadu,Coimbatore,Aliyar Reservoir,CWC,2020,320.04,0.095,309.4732005,0.040883544
Tamil Nadu,Coimbatore,Aliyar Reservoir,CWC,2021,320.04,0.095,315.5433823,0.068242853
Tamil Nadu,Coimbatore,Aliyar Reservoir,CWC,2022,320.04,0.095,314.603514,0.063508371
Tamil Nadu,Coimbatore,Aliyar Reservoir,CWC,2023,320.04,0.095,305.2324406,0.017258203
Tamil Nadu,Coimbatore,Aliyar Reservoir,CWC,2024,320.04,0.095,304.3524745,0.013274234
Tamil Nadu,Coimbatore,Aliyar Reservoir,CWC,2025,320.04,0.095,,
Tamil Nadu,Erode,Lower Bhawani \ Bhavanisagar Reservoir,CWC,1991,278.89,0.792,,
Tamil Nadu,Erode,Lower Bhawani \ Bhavanisagar Reservoir,CWC,1992,278.89,0.792,,
Tamil Nadu,Erode,Lower Bhawani \ Bhavanisagar Reservoir,CWC,1993,278.89,0.792,,
Tamil Nadu,Erode,Lower Bhawani \ Bhavanisagar Reservoir,CWC,1994,278.89,0.792,,
Tamil Nadu,Erode,Lower Bhawani \ Bhavanisagar Reservoir,CWC,1995,278.89,0.792,,
Tamil Nadu,Erode,Lower Bhawani \ Bhavanisagar Reservoir,CWC,1996,278.89,0.792,,
Tamil Nadu,Erode,Lower Bhawani \ Bhavanisagar Reservoir,CWC,1997,278.89,0.792,,
Tamil Nadu,Erode,Lower Bhawani \ Bhavanisagar Reservoir,CWC,1998,278.89,0.792,,
Tamil Nadu,Erode,Lower Bhawani \ Bhavanisagar Reservoir,CWC,1999,278.89,0.792,,
Tamil Nadu,Erode,Lower Bhawani \ Bhavanisagar Reservoir,CWC,2000,278.89,0.792,267.4239344,0.241865656
Tamil Nadu,Erode,Lower Bhawani \ Bhavanisagar Reservoir,CWC,2001,278.89,0.792,264.2493425,0.150454795
Tamil Nadu,Erode,Lower Bhawani \ Bhavanisagar Reservoir,CWC,2002,278.89,0.792,260.2972329,0.080865753
Tamil Nadu,Erode,Lower Bhawani \ Bhavanisagar Reservoir,CWC,2003,278.89,0.792,262.6190959,0.125282192
Tamil Nadu,Erode,Lower Bhawani \ Bhavanisagar Reservoir,CWC,2004,278.89,0.792,268.2556557,0.325628415
Tamil Nadu,Erode,Lower Bhawani \ Bhavanisagar Reservoir,CWC,2005,278.89,0.792,273.2469589,0.496421918
Tamil Nadu,Erode,Lower Bhawani \ Bhavanisagar Reservoir,CWC,2006,278.89,0.792,278.0034795,0.729186301
Tamil Nadu,Erode,Lower Bhawani \ Bhavanisagar Reservoir,CWC,2007,278.89,0.792,276.651863,0.643558904
Tamil Nadu,Erode,Lower Bhawani \ Bhavanisagar Reservoir,CWC,2008,278.89,0.792,277.4175683,0.706461749
Tamil Nadu,Erode,Lower Bhawani \ Bhavanisagar Reservoir,CWC,2009,278.89,0.792,270.1013973,0.355517808
Tamil Nadu,Erode,Lower Bhawani \ Bhavanisagar Reservoir,CWC,2010,278.89,0.792,271.5884658,0.393076712
Tamil Nadu,Erode,Lower Bhawani \ Bhavanisagar Reservoir,CWC,2011,278.89,0.792,272.6215616,0.441331507
Tamil Nadu,Erode,Lower Bhawani \ Bhavanisagar Reservoir,CWC,2012,278.89,0.792,264.4294536,0.166737705
Tamil Nadu,Erode,Lower Bhawani \ Bhavanisagar Reservoir,CWC,2013,278.89,0.792,265.293274,0.207342219
Tamil Nadu,Erode,Lower Bhawani \ Bhavanisagar Reservoir,CWC,2014,278.89,0.792,266.7677528,0.242126111
Tamil Nadu,Erode,Lower Bhawani \ Bhavanisagar Reservoir,CWC,2015,278.89,0.792,269.9695798,0.33550028
Tamil Nadu,Erode,Lower Bhawani \ Bhavanisagar Reservoir,CWC,2016,278.89,0.792,264.1762411,0.154867699
Tamil Nadu,Erode,Lower Bhawani \ Bhavanisagar Reservoir,CWC,2017,278.89,0.792,264.8008227,0.182413019
Tamil Nadu,Erode,Lower Bhawani \ Bhavanisagar Reservoir,CWC,2018,278.89,0.792,271.8701662,0.462430748
Tamil Nadu,Erode,Lower Bhawani \ Bhavanisagar Reservoir,CWC,2019,278.89,0.792,272.7389524,0.478073698
Tamil Nadu,Erode,Lower Bhawani \ Bhavanisagar Reservoir,CWC,2020,278.89,0.792,276.6959091,0.658476309
Tamil Nadu,Erode,Lower Bhawani \ Bhavanisagar Reservoir,CWC,2021,278.89,0.792,277.9946399,0.722443767
Tamil Nadu,Erode,Lower Bhawani \ Bhavanisagar Reservoir,CWC,2022,278.89,0.792,277.3644155,0.682533961
Tamil Nadu,Erode,Lower Bhawani \ Bhavanisagar Reservoir,CWC,2023,278.89,0.792,273.9890118,0.513669971
Tamil Nadu,Erode,Lower Bhawani \ Bhavanisagar Reservoir,CWC,2024,278.89,0.792,267.6390362,0.262242464
Tamil Nadu,Erode,Lower Bhawani \ Bhavanisagar Reservoir,CWC,2025,278.89,0.792,,
Tamil Nadu,Salem,Mettur Reservoir,CWC,1991,240.79,2.647,,
Tamil Nadu,Salem,Mettur Reservoir,CWC,1992,240.79,2.647,,
Tamil Nadu,Salem,Mettur Reservoir,CWC,1993,240.79,2.647,,
Tamil Nadu,Salem,Mettur Reservoir,CWC,1994,240.79,2.647,,
Tamil Nadu,Salem,Mettur Reservoir,CWC,1995,240.79,2.647,,
Tamil Nadu,Salem,Mettur Reservoir,CWC,1996,240.79,2.647,,
Tamil Nadu,Salem,Mettur Reservoir,CWC,1997,240.79,2.647,,
Tamil Nadu,Salem,Mettur Reservoir,CWC,1998,240.79,2.647,,
Tamil Nadu,Salem,Mettur Reservoir,CWC,1999,240.79,2.647,,
Tamil Nadu,Salem,Mettur Reservoir,CWC,2000,240.79,2.647,234.8940164,1.916251366
Tamil Nadu,Salem,Mettur Reservoir,CWC,2001,240.79,2.647,229.2443562,1.316493151
Tamil Nadu,Salem,Mettur Reservoir,CWC,2002,240.79,2.647,219.2206849,0.510512329
